# name	lat	lon	modern_name	verses	slug	score
Ashnah 1	31.7847	35.0063	Islin	1	ashnah-1	346
Ashnah 2	31.5586	34.9761	Idhna	1	ashnah-2	587
Ashtaroth	32.8042	36.0158	Tell Ashtara	7	ashtaroth	797
Ashteroth-karnaim	32.8042	36.0158	Tell Ashtara	1	ashteroth-karnaim	664
Asia	38.4000	28.3000	Asia	21	asia	1000
Asshur	35.4567	43.2625	Assur	4	asshur	1000
Assos	39.4906	26.3367	Assos	2	assos	1000
Assyria	36.3594	43.1528	Nineveh	141	assyria	1000
Atad	31.9149	35.5304	near the mouth of the Jordan River	2	atad	660
Ataroth 1	31.5753	35.6659	Khirbet Ataruz	2	ataroth-1	778
Ataroth 2	31.8805	35.2285	Kafr Aqab	1	ataroth-2	121
Ataroth 3	32.1399	35.4850	Tel al Mazar	1	ataroth-3	136
Ataroth-addar	31.8799	35.2175	Khirbet Atara	2	ataroth-addar	190
Athach	31.6159	34.8783	Khirbet el Ater	1	athach	306
Atharim	30.8790	34.7798	road between Kadesh-barnea and Arad	1	atharim	391
Athens	37.9719	23.7267	Athens	6	athens	1000
Atroth-beth-joab	31.7043	35.2076	Bethlehem	1	atroth-beth-joab	589
Atroth-shophan	31.5913	35.6874	Rujm Ataruz	1	atroth-shophan	363
Attalia	36.8813	30.7036	Antalya	2	attalia	1000
Aven	31.9228	35.2414	Beitin	1	aven	536
Avith	30.2060	35.6019	Rujum al Juththa	2	avith	277
Avva	34.6847	36.6906	Kafr Aya	1	avva	62
Avvim	31.9169	35.2611	Et Tell	1	avvim	156
Ayyah	31.9169	35.2611	Et Tell	1	ayyah	179
Azal	31.7608	35.2317	Nahal Azal	1	azal	220
Azekah	31.7002	34.9357	Tel Azekah	7	azekah	772
Azmaveth	31.8350	35.2619	Hizma	3	azmaveth	509
Azmon	30.6875	34.3333	Ain Muweileh	3	azmon	545
Aznoth-tabor	32.7272	35.3844	Tel Govel	1	aznoth-tabor	399
Baal-gad	33.4679	35.7475	Tell Haush	3	baal-gad	199
Baal-hamon	31.7767	35.2342	Jerusalem	1	baal-hamon	134
Baal-hazor	31.9786	35.2861	Jebel Asur	1	baal-hazor	710
Baal-hermon	33.4000	35.8500	Mount Hermon	1	baal-hermon	581
Baal-meon	31.6795	35.7353	Ma‘in	4	baal-meon	797
Baal-peor	31.7770	35.7385	Khirbet Ayun Musa	2	baal-peor	132
Baal-perazim	31.7419	35.1833	Ez Zuhur	2	baal-perazim	240
Baal-shalishah	32.1103	35.0118	Khirbet Sirisye	1	baal-shalishah	349
Baal-tamar	31.8315	35.2413	Ras et Tawil	1	baal-tamar	215
Baal-zephon	30.8606	32.1714	Tell Defenneh	3	baal-zephon	339
Baalah 1	31.1421	34.9122	Tulul el Medbah	1	baalah-1	222
Baalah 2	31.8090	35.1038	Deir el Azar	3	baalah-2	970
Baalath 1	31.8385	34.7822	Al Maghar	1	baalath-1	749
Baalath 2	31.8385	34.7822	Al Maghar	2	baalath-2	475
Baalath-beer	30.9910	34.9113	Beer Yeroham	2	baalath-beer	97
Baale-judah	31.8090	35.1038	Deir el Azar	1	baale-judah	959
Babel	32.5433	44.4222	Babylon	2	babel	810
Babylon 1	32.5433	44.4222	Babylon	296	babylon-1	1000
Babylon 2	41.8922	12.4852	Rome	1	babylon-2	917
Babylon 3	41.8922	12.4852	Rome	6	babylon-3	934
Babylonia	32.5433	44.4222	Babylon	15	babylonia	1000
Bahurim	31.7912	35.2569	Ras Tumeim	7	bahurim	475
Balah	31.1421	34.9122	Tulul el Medbah	1	balah	155
Bamoth	31.7318	35.7409	Khirbet el Quweiqiyeh	2	bamoth	430
Bamoth-baal	31.7318	35.7409	Khirbet el Quweiqiyeh	2	bamoth-baal	430
Bashan	32.7811	35.9347	Saham al Jawlan	53	bashan	680
Batanea	32.8520	36.1993	Raphana	0	batanea	1000
Bath-rabbim	31.8008	35.8091	Tell Hesban	1	bath-rabbim	433
Bealoth 1	30.9910	34.9113	Beer Yeroham	1	bealoth-1	36
Bealoth 2	30.9910	34.9113	Beer Yeroham	1	bealoth-2	3
Beautiful Gate	31.7767	35.2342	Jerusalem	2	beautiful-gate	1000
Beer 1	31.5719	35.8933	Wadi eth Themed	1	beer-1	248
Beer 2	32.6082	35.5042	El Bira	1	beer-2	387
Beer-elim	31.5719	35.8933	Wadi eth Themed	1	beer-elim	201
Beer-lahai-roi	30.6875	34.3333	Ain Muweileh	3	beer-lahai-roi	258
Beeroth	31.8238	35.1872	Khirbet el Burj	9	beeroth	252
Beeroth Bene-jaakan	30.7918	34.4725	Birein	1	beeroth-bene-jaakan	370
Beersheba 1	31.2447	34.8408	Tel Beer Sheva	23	beersheba-1	823
Beersheba 2	31.2447	34.8408	Tel Beer Sheva	10	beersheba-2	334
Beeshterah	32.8042	36.0158	Tell Ashtara	1	beeshterah	602
Belamon	33.2581	35.5810	Tel Abel Beth Maacah	0	belamon	231
Bene-berak	32.0367	34.8277	Al Khayriyya	1	bene-berak	818
Bene-jaakan	30.7918	34.4725	Birein	2	bene-jaakan	385
Benjamin Gate	31.7767	35.2342	Jerusalem	4	benjamin-gate	1000
Beon	31.6795	35.7353	Ma‘in	1	beon	797
Berea	40.5183	22.2000	Veria	6	berea	1000
Bered	31.0970	34.6520	Haluza	1	bered	459
Berothah	33.9353	36.1508	Brital	1	berothah	336
Berothai	33.9353	36.1508	Brital	1	berothai	141
Besor	31.4642	34.3757	Nahal HaBesor	3	besor	882
Beten	32.7641	35.1066	Khirbet Ibtin	1	beten	226
Beth-anath	33.2003	35.4331	Safad el Battikh	2	beth-anath	372
Beth-anoth	31.5621	35.1262	Khirbet Beit Anun	1	beth-anoth	612
Beth-arabah	31.8458	35.5017	Ain el Gharabeh	4	beth-arabah	404
Beth-arbel	32.5587	35.8476	Tall Irbid	1	beth-arbel	597
Beth-ashbea	31.4558	34.9098	Tell Beit Mirsim	1	beth-ashbea	349
Beth-aven 1	31.8692	35.2681	Tell Maryam	4	beth-aven-1	222
Beth-aven 2	31.9228	35.2414	Beitin	3	beth-aven-2	654
Beth-barah	32.1000	35.5200	Wadi al Fara	1	beth-barah	164
Beth-biri	31.0067	34.4918	Jebel el Biri	1	beth-biri	625
Beth-car	31.8950	35.0836	Beit Ur al Tahta	1	beth-car	213
Beth-dagon 1	31.9836	34.8086	Khirbet Dajun	1	beth-dagon-1	261
Beth-dagon 2	32.7226	35.0906	Khirbet Jelameh	1	beth-dagon-2	422
Beth-diblathaim	31.6387	35.8266	Duleilat esh Sharqiyeh	1	beth-diblathaim	303
Beth-eden	36.7014	38.0865	Til Barsip	1	beth-eden	1000
Beth-eked	32.4697	35.3563	Beit Qad	2	beth-eked	380
Beth-emek	32.9658	35.1519	Tel Emek	1	beth-emek	677
Beth-ezel	31.4685	34.9381	Deir al Asal al Fauqa	1	beth-ezel	379
Beth-gader	31.7043	35.2076	Bethlehem	1	beth-gader	231
Beth-gamul	31.4835	35.8999	Jumaiyil	1	beth-gamul	524
Beth-gilgal	31.8819	35.4600	Khirbet el Mefjir	1	beth-gilgal	266
Beth-haccherem	31.7399	35.2169	Ramat Rahel	2	beth-haccherem	747
Beth-haggan	32.4608	35.2987	Tell Jenin	1	beth-haggan	782
Beth-haram	31.8193	35.6719	Tall Iktanu	2	beth-haram	589
Beth-hoglah	31.8204	35.5012	Deir Hajla	3	beth-hoglah	559
Beth-horon	31.8950	35.0836	Beit Ur al Tahta	7	beth-horon	1000
Beth-jeshimoth	31.7826	35.6213	Tell Azeimeh	4	beth-jeshimoth	799
Beth-le-aphrah	31.5566	35.0335	Khirbet et Taiyiba	1	beth-le-aphrah	269
Beth-lebaoth	31.0067	34.4918	Jebel el Biri	1	beth-lebaoth	456
Beth-marcaboth	31.3503	34.9286	Khirbet Tatrit	2	beth-marcaboth	375
Beth-meon	31.6795	35.7353	Ma‘in	1	beth-meon	761
Beth-millo	32.2136	35.2819	Tell Balatah	3	beth-millo	690
Beth-nimrah	31.9091	35.6387	Tall Bleibel	2	beth-nimrah	578
Beth-pazzez	32.6804	35.4863	Hadita	1	beth-pazzez	481
Beth-pelet	31.3099	34.9078	Tell es Saqati	2	beth-pelet	444
Beth-peor	31.7770	35.7385	Khirbet Ayun Musa	4	beth-peor	245
Beth-rehob	34.0089	36.1453	Beqaa Valley	2	beth-rehob	228
Beth-shan	32.5036	35.5031	Tel Bet Shean	8	beth-shan	889
Beth-shemesh 1	31.7506	34.9747	Tel Bet Shemesh	17	beth-shemesh-1	864
Beth-shemesh 2	32.6878	35.5252	Sheikh esh Shamsawi	1	beth-shemesh-2	422
Beth-shemesh 3	33.0413	35.3327	Tel Rosh	2	beth-shemesh-3	528
Beth-shittah	32.5392	35.4072	Tel Salwim	1	beth-shittah	194
Beth-tappuah	31.5386	35.0462	Taffuh	1	beth-tappuah	800
Beth-togarmah	40.3833	44.9500	Armenia	2	beth-togarmah	353
Beth-zur	31.5894	35.0942	Khirbet et Tubeiqa	4	beth-zur	842
Bethany 1	31.7717	35.2559	Al Eizariya	12	bethany-1	889
Bethany 2	31.8371	35.5503	Al Maghtas	1	bethany-2	320
Bethel 1	31.9228	35.2414	Beitin	69	bethel-1	716
Bethel 2	31.3450	35.1244	Khirbet el Qaryatein	1	bethel-2	277
Bethel 3	31.9228	35.2414	Beitin	2	bethel-3	413
Bether 1	31.7300	35.1356	Khirbet al Yahud	1	bether-1	-87
Bether 2	31.7300	35.1356	Khirbet al Yahud	0	bether-2	1000
Bethesda	31.7814	35.2358	Pool of Bethesda	1	bethesda	1000
Bethlehem 1	31.7043	35.2076	Bethlehem	52	bethlehem-1	1000
Bethlehem 2	32.7348	35.1856	Beit Lahm	1	bethlehem-2	1000
Bethlehem 3	32.7348	35.1856	Beit Lahm	2	bethlehem-3	733
Bethphage	31.7776	35.2508	Et Tur	3	bethphage	698
Bethsaida 1	32.9104	35.6310	At Tell	4	bethsaida-1	466
Bethsaida 2	32.9104	35.6310	At Tell	3	bethsaida-2	345
Bethuel	31.3273	34.8785	Khirbet ar Ras	1	bethuel	137
Bethul	31.3273	34.8785	Khirbet ar Ras	1	bethul	115
Betonim	32.0106	35.7107	Khirbet Batneh	1	betonim	645
Beyond the River	31.7767	35.2342	Jerusalem	16	beyond-the-river	1000
Bezek 1	32.3688	35.3974	Khirbet Ibziq	2	bezek-1	399
Bezek 2	32.3688	35.3974	Khirbet Ibziq	1	bezek-2	753
Bezer	31.7860	35.9017	Umm el Amad	4	bezer	442
Bileam	32.4462	35.2920	Khirbet Belameh	1	bileam	628
Bilhah	31.1421	34.9122	Tulul el Medbah	1	bilhah	196
Bithynia	40.5000	31.0000	Bithynia	2	bithynia	1000
Bochim	31.9228	35.2414	Beitin	2	bochim	510
Bor-ashan	31.2814	34.7974	Khirbet Asan	1	bor-ashan	415
Bozez	31.8572	35.2871	Bozez	1	bozez	1011
Bozkath	31.5369	34.9132	Ed Dawaimeh	2	bozkath	479
Bozrah 1	30.7458	35.6039	Buseira	8	bozrah-1	880
Bozrah 2	31.7860	35.9017	Umm el Amad	1	bozrah-2	198
Broad Wall	31.7761	35.2319	Broad Wall	2	broad-wall	1000
Brook of Egypt	31.1457	33.8065	Wadi al Arish	9	brook-of-egypt	610
Brook of the Arabah	31.8443	35.4143	Wadi Qelt	1	brook-of-the-arabah	131
Brook of the Willows	31.0270	35.4853	Wadi al Hasa	1	brook-of-the-willows	648
Buz	28.3566	38.9880	between Dedan and Kedar	1	buz	363
Cabbon	31.5636	34.9281	Khirbet Beit Lei	1	cabbon	143
Cabul 1	32.8683	35.2114	Kabul	1	cabul-1	470
Cabul 2	32.8683	35.2114	Kabul	1	cabul-2	491
Caesarea	32.5000	34.8917	Caesarea Maritima	18	caesarea	1000
Caesarea Philippi	33.2461	35.6933	Banias	2	caesarea-philippi	1000
Calah	36.0981	43.3289	Nimrud	2	calah	1000
Caleb Ephrathah	31.7043	35.2076	Bethlehem	1	caleb-ephrathah	68
Calneh 1	32.1261	45.2308	Nippur	1	calneh-1	168
Calneh 2	36.2475	36.3764	Tell Tayinat	2	calneh-2	428
Cana	32.8222	35.3027	Horbat Qana	4	cana	690
Canaan	32.7667	35.3333	Canaan	101	canaan	1000
Canneh	36.2926	37.2055	Kullan Köy	1	canneh	252
Capernaum	32.8811	35.5750	Tell Hum	18	capernaum	842
Caphtor	35.3097	24.8933	Crete	5	caphtor	757
Cappadocia	38.6706	34.8392	Cappadocia	2	cappadocia	1000
Carchemish	36.8297	38.0150	Jerabis	3	carchemish	880
Carmel 1	31.4229	35.1330	Khirbet el Kirmil	14	carmel-1	842
Carthage	36.8526	10.3235	Carthage	0	carthage	1000
Casiphia	32.5433	44.4222	Babylon	1	casiphia	784
Cauda	34.8333	24.0833	Gavdos	1	cauda	1000
Cenchreae	37.8843	22.9968	Kechries	2	cenchreae	1000
Chalcis	33.7258	35.9297	Anjar	0	chalcis	619
Chaldea	30.9622	46.1044	Tell el Muqayyar	85	chaldea	1000
Charmande	33.6439	42.8231	Hit	0	charmande	430
Chebar	32.1269	45.2308	Shatt en Nil	8	chebar	696
Chephar-ammoni	31.9661	35.2476	Khirbet Kafr Ana	1	chephar-ammoni	252
Chephirah	31.8309	35.1068	Khirbet el Kefireh	4	chephirah	838
Cherith	32.3947	35.5914	Wadi al Yabis	2	cherith	335
Cherub	32.5433	44.4222	Babylon	2	cherub	591
Chesalon	31.7811	35.0511	Kesla	1	chesalon	702
Chesil	31.3273	34.8785	Khirbet ar Ras	1	chesil	103
Chesulloth	32.6834	35.3242	Iksal	1	chesulloth	878
Chezib	31.6421	34.9530	Tel el Beida	1	chezib	437
Chilmad	36.3856	36.6889	Tell Jindaris	1	chilmad	316
Chinnereth	32.8694	35.5383	Tel Kinrot	4	chinnereth	756
Chios	38.3725	26.1375	Chios	1	chios	1000
Chisloth-tabor	32.6834	35.3242	Iksal	1	chisloth-tabor	652
Chitlish	31.5299	34.7896	Khirbet Umm al Baqar	1	chitlish	347
Chorazin	32.9114	35.5639	Khirbet Karraza	2	chorazin	786
Cilicia	36.9130	34.8921	Tarsus	8	cilicia	1000
City of David	31.7736	35.2356	City of David	46	city-of-david	1000
City of Destruction	30.1294	31.3075	Ain Shams	1	city-of-destruction	566
City of Palms 1	31.8717	35.4446	Tell es Sultan	3	city-of-palms-1	939
City of Palms 2	31.8717	35.4446	Tell es Sultan	1	city-of-palms-2	898
City of Salt	31.7408	35.4586	Qumran	1	city-of-salt	340
Cnidus	36.6858	27.3750	Cnidus	1	cnidus	1000
Colossae	37.7866	29.2599	Colossae	1	colossae	1000
Corinth	37.9058	22.8787	Corinth	11	corinth	1000
Corner Gate	31.7767	35.2342	Jerusalem	5	corner-gate	1000
Cos	36.8153	27.1103	Kos	1	cos	1000
Cozeba	31.6421	34.9530	Tel el Beida	1	cozeba	385
Crete	35.3097	24.8933	Crete	9	crete	1000
Cun	34.2597	36.4236	Ras Baalbek	1	cun	254
Cush 1	16.9351	33.7507	Meroe	19	cush-1	1000
Cush 2	32.5433	44.4222	Babylon	1	cush-2	510
Cushan	28.4947	35.0122	Al Bad	1	cushan	515
Cuth	32.7600	44.6129	Tell Ibrahim	2	cuth	810
Cyprus	35.0000	33.0000	Cyprus	12	cyprus	1000
Cyrene	32.8209	21.8512	Cyrene	7	cyrene	1000
Dabbesheth	32.6703	35.1550	Tel Shem	1	dabbesheth	558
Daberath	32.6973	35.3775	Horvat Devora	3	daberath	673
Dalmanutha	32.8271	35.5136	Majdal	1	dalmanutha	255
Dalmatia	43.8128	16.2188	Dalmatia	1	dalmatia	1000
Damascus	33.5111	36.3064	Damascus	58	damascus	1000
Dan	33.2490	35.6520	Tel Dan	25	dan	1000
Dannah	31.3698	34.9950	Khirbet Zanuta	1	dannah	143
Debir 1	31.4321	35.0149	Khirbet Rabud	11	debir-1	775
Debir 2	31.8164	35.3594	Khan el Hatrur	1	debir-2	258
Debir 3	32.5658	35.6122	Umm ed Debar	1	debir-3	139
Decapolis	32.7167	35.8000	Decapolis	3	decapolis	1000
Dedan	26.6500	37.9167	Al Khuraybah	7	dedan	845
Derbe	37.3486	33.3615	Kerti Hüyük	5	derbe	860
Dibon 1	31.5022	35.7766	Tall Dhiban	10	dibon-1	1000
Dibon 2	31.5022	35.7766	Tall Dhiban	1	dibon-2	77
Dibon 3	31.5022	35.7766	Tall Dhiban	1	dibon-3	405
Dilean	31.5026	34.7583	Tel Nagila	1	dilean	309
Dimnah	32.7881	35.3106	Rumana	1	dimnah	442
Dimonah	31.2961	35.1562	Khirbet edh Dheiba	1	dimonah	229
Dinhabah	31.7985	35.7224	Khirbet el Muhatta	2	dinhabah	-76
Diviners’ Oak	32.2136	35.2819	Tell Balatah	1	diviners-oak	1000
Dizahab	31.8066	36.0508	Ad Duhaybah	1	dizahab	339
Dophkah	29.0367	33.4594	Serabit el Khadim	2	dophkah	441
Dor	32.6174	34.9164	Tel Dor	4	dor	864
Dothan	32.4135	35.2399	Tel Dotan	2	dothan	877
Dragon Spring	31.7672	35.2360	Bir Ayub	1	dragon-spring	348
Dumah 1	31.4306	34.9861	Deir ed Domeh	1	dumah-1	662
Dumah 2	30.7458	35.6039	Buseira	1	dumah-2	480
Dung Gate	31.7767	35.2342	Jerusalem	4	dung-gate	1000
Dura	32.3200	44.5017	Tulul Dura	1	dura	433
East	31.9547	35.9343	Amman	18	east	1000
East Gate	31.7767	35.2342	Jerusalem	4	east-gate	1000
East Square	31.7767	35.2342	Jerusalem	1	east-square	1000
Ebenezer 1	32.1046	34.9645	Izbet Sartah	2	ebenezer-1	589
Ebenezer 2	31.9409	35.2370	between Mizpah and Shen	1	ebenezer-2	217
Ebez	32.6581	35.5058	Ain el Habus	1	ebez	142
Ebron	33.0477	35.1619	Tel Avdon	1	ebron	513
Ecbatana	34.8065	48.5162	Tell Hagmatana	1	ecbatana	1000
Eden 1	40.3833	44.9500	Armenia	13	eden-1	178
Eden 2	36.7014	38.0865	Til Barsip	3	eden-2	944
Eder 1	31.7073	35.2301	Khirbet es Siyar el Ghanam	1	eder-1	632
Eder 2	31.2808	35.1250	Tel Arad	1	eder-2	111
Edom	30.7458	35.6039	Buseira	111	edom	880
Edrei 1	32.6253	36.1061	Daraa	7	edrei-1	821
Edrei 2	33.0758	35.5283	Har Zevi	1	edrei-2	224
Eglaim	31.1808	35.7126	Rujm el Jilimeh	1	eglaim	325
Eglath-shelishiyah	31.0369	35.4877	Al Safi	2	eglath-shelishiyah	115
Eglon	31.4918	34.9281	Tell Eton	8	eglon	574
Egypt	30.1294	31.3075	Ain Shams	658	egypt	1000
Ekron	31.7775	34.8519	Tel Miqne	20	ekron	1000
El-bethel	31.9228	35.2414	Beitin	1	el-bethel	716
El-paran	29.5307	35.0000	Aqaba	1	el-paran	340
Elam	32.1892	48.2578	Shush	16	elam	1000
Elath	29.5307	35.0000	Aqaba	6	elath	527
Elealeh	31.8193	35.8283	Al ‘Al	5	elealeh	774
Elim	29.2547	32.9158	Wadi Gharandal	4	elim	533
Elishah	35.0000	33.0000	Cyprus	1	elishah	377
Elkosh	33.1214	35.3383	El Kauzeh	1	elkosh	233
Ellasar	35.4567	43.2625	Assur	2	ellasar	215
Elon	31.7463	34.9971	Khirbet Wadi Illin	1	elon	315
Elonbeth-hanan	31.7463	34.9971	Khirbet Wadi Illin	1	elonbeth-hanan	155
Eltekeh	31.8925	34.7678	Tel Shalaf	2	eltekeh	414
Eltekon	31.6903	35.1015	Khirbet ed Deir	1	eltekon	409
Eltolad	31.2447	34.8408	Tel Beer Sheva	3	eltolad	183
Emek-keziz	31.8717	35.4446	Tell es Sultan	1	emek-keziz	470
Emmaus	31.7929	35.1642	Qalunya	3	emmaus	338
En-dor	32.6436	35.3902	Khirbet es Safsafa	3	en-dor	757
En-gannim 1	31.7476	34.9638	Khirbet Umm Jina	1	en-gannim-1	288
En-gannim 2	32.7135	35.4954	Khirbet Beit Jann	2	en-gannim-2	167
En-haddah	32.6804	35.4863	Hadita	1	en-haddah	698
En-hakkore	31.7488	35.0010	Khirbet es Siyyagh	1	en-hakkore	326
En-hazor	33.1289	35.4400	Aynata	1	en-hazor	394
En-rimmon	31.3833	34.8656	Tel Halif	1	en-rimmon	276
